location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
1348,APARTMENT,APARTMENT,250000,3,80,1,0,0,0,,0,,,,0,
1742,HOUSE,HOUSE,188000,1,60,1,1,0,0,,0,,42,3,0,GOOD
8430,APARTMENT,GROUND_FLOOR,200000,1,46,0,0,0,0,,0,,,3,0,
3520,HOUSE,HOUSE,275000,3,144,1,0,0,1,,0,,1340,4,0,TO_BE_DONE_UP
4000,APARTMENT,APARTMENT,345000,4,146,0,0,0,1,5,0,,,,0,GOOD
1050,APARTMENT,APARTMENT,865000,3,165,1,0,0,1,24,0,,,2,0,AS_NEW
2870,APARTMENT,APARTMENT,269000,2,89,0,0,0,1,,1,,,,0,
7850,HOUSE,VILLA,1395000,5,520,0,0,1,1,50,1,,3250,4,1,AS_NEW
1500,APARTMENT,APARTMENT,275000,1,85,0,0,0,0,,0,,,,0,
1000,HOUSE,HOUSE,945000,3,320,0,0,0,1,,1,66,175,2,0,AS_NEW
3730,HOUSE,HOUSE,295000,2,161,1,0,0,0,,1,,1426,,0,
7370,HOUSE,HOUSE,150000,4,283,1,0,0,0,,0,,1633,4,0,TO_RENOVATE
1050,APARTMENT,APARTMENT,3370000,3,271,0,0,0,1,132,0,,,,0,JUST_RENOVATED
6953,HOUSE,HOUSE,159000,4,140,1,0,0,0,,1,155,155,3,0,GOOD
9620,HOUSE,HOUSE,279000,3,220,1,0,0,1,,1,,779,,0,GOOD
8800,HOUSE,HOUSE,276600,3,108,1,0,0,1,44,1,44,155,,0,AS_NEW
8434,APARTMENT,APARTMENT,250000,2,64,1,0,0,1,,0,,,2,0,GOOD
8540,HOUSE,HOUSE,375000,6,222,0,0,0,0,,1,,1106,4,0,GOOD
1350,HOUSE,HOUSE,380000,4,217,0,0,1,1,,0,,2140,4,0,
3000,HOUSE,HOUSE,615000,2,121,1,1,0,1,15,1,,78,,0,
6150,HOUSE,HOUSE,175000,4,130,0,0,0,1,,1,800,890,2,0,GOOD
3010,HOUSE,HOUSE,598000,4,222,1,0,1,1,20,1,85,225,2,0,GOOD
9660,HOUSE,HOUSE,288000,4,156,1,0,0,0,,1,,338,,0,
9200,APARTMENT,PENTHOUSE,289000,3,125,1,0,0,1,14,0,,,2,0,
1325,APARTMENT,DUPLEX,265000,2,93,1,0,0,1,12,0,,,4,0,
1400,HOUSE,MANSION,395000,4,290,1,0,0,1,,1,,470,3,0,GOOD
1500,HOUSE,HOUSE,190000,3,90,1,0,0,0,,1,,92,,0,TO_BE_DONE_UP
9600,HOUSE,HOUSE,255000,4,600,1,0,0,0,,0,,487,2,0,
4460,HOUSE,HOUSE,205000,3,115,1,0,0,1,25,0,,517,2,0,GOOD
4000,APARTMENT,APARTMENT,299000,4,160,0,0,0,0,,0,,,3,0,AS_NEW
4100,APARTMENT,GROUND_FLOOR,119000,1,50,1,0,0,0,,0,,,2,0,GOOD
1310,HOUSE,MIXED_USE_BUILDING,495000,2,300,0,0,0,1,,0,,290,3,0,
8300,HOUSE,HOUSE,1135000,5,265,1,1,1,1,30,1,300,400,3,1,AS_NEW
8370,HOUSE,HOUSE,315000,2,133,1,0,0,1,,1,130,215,,0,AS_NEW
1050,APARTMENT,APARTMENT,1150000,3,200,1,0,0,1,12,1,,,3,0,
1702,APARTMENT,PENTHOUSE,299000,3,115,1,0,0,0,,0,,,3,0,GOOD
7608,HOUSE,HOUSE,180000,5,,0,0,0,1,,0,,12630,4,0,TO_RENOVATE
2390,HOUSE,VILLA,1125000,4,508,1,0,0,0,,1,2500,3079,,1,GOOD
1300,HOUSE,HOUSE,627000,4,502,0,0,0,0,,1,,1233,3,0,
7090,HOUSE,HOUSE,250000,2,125,1,0,0,1,,0,,920,4,0,TO_BE_DONE_UP
1160,APARTMENT,APARTMENT,495000,2,100,1,0,0,1,20,0,,,2,0,AS_NEW
9000,APARTMENT,APARTMENT,50000,2,,1,0,0,0,,0,,,,0,
1060,APARTMENT,APARTMENT,460000,2,119,1,1,0,0,,0,,,,0,AS_NEW
9220,APARTMENT,APARTMENT,228000,2,92,0,0,0,1,13,0,,,,0,
8434,APARTMENT,APARTMENT,375000,2,115,1,0,0,1,22,1,500,,,0,GOOD
8790,APARTMENT,APARTMENT,499000,2,185,1,0,0,1,,0,,,2,0,AS_NEW
1050,APARTMENT,APARTMENT,275000,2,75,1,0,0,1,23,0,,,2,0,
2100,HOUSE,HOUSE,385000,3,127,0,0,0,1,20,1,70,200,2,0,AS_NEW
4633,APARTMENT,APARTMENT,275000,2,104,1,0,0,1,8,0,,,,0,
9230,APARTMENT,APARTMENT,199800,2,78,1,0,0,1,7,0,,,2,0,
4000,HOUSE,APARTMENT_BLOCK,245000,3,160,1,1,0,0,,0,,82,2,0,GOOD
8530,APARTMENT,APARTMENT,197500,2,90,0,0,0,1,58,1,,,,0,AS_NEW
1050,APARTMENT,APARTMENT,3324000,3,308,1,0,0,1,,0,,,,0,AS_NEW
1160,APARTMENT,APARTMENT,345000,2,95,1,0,0,1,2,0,,,2,0,AS_NEW
4000,HOUSE,HOUSE,190000,3,159,1,0,0,1,32,1,250,0,2,0,
1020,APARTMENT,GROUND_FLOOR,370000,3,195,1,0,0,1,,1,950,,,0,TO_RENOVATE
1420,HOUSE,HOUSE,289000,3,90,1,0,0,1,10,1,200,340,2,0,TO_BE_DONE_UP
9700,APARTMENT,APARTMENT,521625,2,100,0,0,0,1,16,0,,,,0,AS_NEW
1435,APARTMENT,APARTMENT,249000,1,75,1,0,0,1,11,1,81,,2,0,AS_NEW
2000,APARTMENT,APARTMENT,500000,2,100,1,0,0,1,18,0,,,,0,AS_NEW
4800,HOUSE,HOUSE,87500,1,55,1,0,0,0,,0,,0,2,0,GOOD
2845,HOUSE,HOUSE,184000,3,,1,0,0,1,,0,,428,3,0,
4350,HOUSE,VILLA,150000,3,147,1,0,0,0,,1,698,1133,4,0,GOOD
4053,HOUSE,HOUSE,329000,3,115,1,0,0,1,55,1,315,424,,0,GOOD
2200,APARTMENT,APARTMENT,209000,2,100,1,0,0,0,,0,,,,0,AS_NEW
2850,HOUSE,MIXED_USE_BUILDING,430000,0,,0,0,0,0,,0,,1045,2,0,TO_RENOVATE
7020,HOUSE,HOUSE,110000,2,100,1,0,0,1,40,1,60,230,2,0,GOOD
8470,HOUSE,HOUSE,249000,2,129,1,0,0,0,,1,123,141,,0,
9300,APARTMENT,APARTMENT,125000,1,60,0,0,0,0,,0,,,,0,GOOD
1600,HOUSE,MIXED_USE_BUILDING,999999,12,440,1,0,0,1,100,0,,648,2,0,TO_BE_DONE_UP
1640,HOUSE,HOUSE,1100000,3,300,1,0,0,1,50,0,,253,2,0,AS_NEW
8820,HOUSE,HOUSE,285000,4,200,0,0,0,0,,1,303,441,3,0,GOOD
2260,HOUSE,VILLA,635000,6,503,0,0,0,0,,1,,2387,4,0,TO_RENOVATE
8791,APARTMENT,APARTMENT,265700,2,97,0,0,0,1,,0,,,,0,
9900,APARTMENT,APARTMENT,225000,2,90,1,0,0,1,,1,,,,0,
8600,APARTMENT,APARTMENT,197000,2,74,0,0,0,0,,0,,,2,0,
1654,HOUSE,MIXED_USE_BUILDING,315000,3,271,0,0,0,0,,0,,349,4,0,
3600,HOUSE,HOUSE,435000,5,234,0,0,1,1,40,1,1,975,4,0,AS_NEW
8200,HOUSE,BUNGALOW,379000,4,,1,0,0,0,,0,,540,4,0,TO_RENOVATE
1020,APARTMENT,APARTMENT,215000,3,90,1,0,0,1,22,0,,,,0,TO_RENOVATE
1770,HOUSE,HOUSE,269000,3,176,1,0,0,1,78,1,78,110,2,0,AS_NEW
9700,HOUSE,HOUSE,765000,5,,1,0,0,1,,0,,0,4,0,
4101,HOUSE,HOUSE,189000,3,185,0,0,0,1,49,1,300,396,2,0,
8670,APARTMENT,APARTMENT,389000,2,110,0,0,0,0,,0,,,2,0,
1420,HOUSE,HOUSE,225000,3,118,1,0,0,0,,1,,0,,0,GOOD
